pkgs,deps,name
436,3040,irestful
100,509,ride-user
90,4694,zendframework
70,965,tril
68,975,xtra
65,5040,beberlei
65,20923,fabpot
64,282,kayalion
53,175,pjedrzejewski
52,52,anomaly
52,195,Chibineko
51,506,andreasisaak
50,261,brikou
48,165,kartik-v
46,178,samsonos
45,630,lsmith
42,43,tigredonorte
40,193,harikt
40,351,philsturgeon
39,167,elcodi
38,87,AmyStephen
37,96,ivank
37,170,kherge
37,249,zf1
37,1922,mtdowling
36,5021,taylorotwell
35,143,Jeroen De Dauw
35,76,franckstauffer
34,79,pepakriz
34,425,igorw
33,93,rmzamora
33,183,pmjones
32,161,Hoa
32,415,typo3
31,222,romain
31,2011,david@grudl.com
30,30,donaldinou
30,334,dbu
30,1270,chillu
29,205,adrianmacneil
28,72,webignition
28,150,dongilbert
28,159,derickr
28,142,lolautruche
28,204,kayladnls
28,572,sonata-project
28,294,simensen
27,102,milesj
27,122,josephmoniz
27,211,crynobone
27,10345,sebastian
26,88,martinschroeder
26,173,Spomky
26,62,oat-lionel
26,113,wagnert
25,89,olvlvl
24,118,wmde
24,141,virtuecenter
24,64,bdunogier
24,124,ezrobot
24,397,couac
23,44,norzechowicz
23,45,groganz
23,53,meerkat
23,73,asika32764
23,391,RobLoach
23,614,KnpLabs
23,851,johannes
22,40,chrisnharvey
22,44,dominikzogg
22,45,Tadcka
22,85,c9s
22,738,fprochazka
22,1250,sminnee
21,80,nullivex
21,1431,qiangxue
20,29,superdweebie
20,1247,everzet
19,31,yosmanyga
19,61,treshugart
19,64,max107
19,77,hafriedlander
19,49,tonydspaniard
19,46,crisu83
19,130,AndrewEddie
19,88,graham-campbell
19,300,SpiffyJr
18,23,artodeto
18,38,heruan
18,33,timperry
18,51,leyou
18,58,covex-nn
18,29,modulargaming
18,61,pierowbmstr
18,77,spudz76
18,78,SvenAlHamad
18,68,pscheit
18,89,ezzatron
18,81,dragonprojects
18,170,fpoirotte
18,283,mvriel
17,42,nmacherey
17,43,duke
17,46,wecodemore
17,117,frankdejonge
17,233,cboden
16,32,pankajlele
16,34,msarca
16,26,mounter
16,51,bajbnet
16,27,cliffparnitzky
16,60,goten4
16,35,mouf
16,96,chirimoya
16,47,juriansluiman
16,136,cordoval
15,22,lavoiesl
15,21,ekyna
15,31,chives
15,30,vova07
15,60,crodas
15,36,neilime
15,39,thibaud-evaneos
15,46,jsifalda
15,48,kapitchi
15,98,matthiasnoback
15,119,jmalloc
15,1217,Stof
14,18,tzappa
14,29,FlorianWolters
14,26,satanasdiabolo
14,26,gou1
14,26,magnetik
14,32,ehough
14,28,psychoticmeow
14,28,ramblingsofadev
14,38,splitice
14,31,Peter Gribanov
14,37,stevewest
14,37,WanWizard
14,43,vitkutny
14,26,richardjennings
14,44,heartsentwined
14,38,joostfaassen
14,60,gregorybesson
14,36,leofeyer
14,67,makasim
14,168,ThomasWeinert
14,105,shadowhand
14,166,pablodip
13,17,bazo
13,19,hilobok
13,17,comodojo
13,18,ProPheT777
13,23,Razorblade
13,19,sstok
13,26,chh
13,43,hanneskod
13,34,gossi
13,28,stuartherbert
13,90,drotter
13,977,cebe
12,12,k1LoW
12,12,maci1011
12,13,titomiguelcosta
12,24,cmsx
12,17,mark.sagikazar
12,23,schmunk
12,21,blar
12,18,nsams
12,30,chevron
12,20,andemi
